"campagna","MedianWeight","MeanWeight","TemperatureC","DOmgL","pH","Year","Monthnumber","Week","Dayofmonth","Hour","SpConducibilitymicroScm","DOoutmgLTARGET","pHout","ConducibilitymicroScm","DOsat","DOlocal","SpConducibilitymicroScmOUT","Tagliag","Biomassakg","quantomangimekg","timestamped"
"2",70,70,6.904,11.49,7.55,2019,11,46,16,1,176.33684640522856,10.97,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_1.0"
"2",70,70,6.904,11.49,7.55,2019,11,46,16,1,176.33684640522856,10.97,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_1.0"
"2",73,76.5,7.061,11.05,7.56,2019,11,46,16,3,176.33684640522856,10.97,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_3.0"
"2",73,76.5,7.061,11.05,7.56,2019,11,46,16,3,176.33684640522856,10.97,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_3.0"
"2",60,60,7.094,11.39,7.57,2019,11,46,16,4,176.33684640522856,10.91,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_4.0"
"2",60,60,7.094,11.39,7.57,2019,11,46,16,4,176.33684640522856,10.91,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_4.0"
"2",54,69.44444444444444,7.374,10.93,7.55,2019,11,46,16,8,176.33684640522856,10.24,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_8.0"
"2",54,69.44444444444444,7.374,10.93,7.55,2019,11,46,16,8,176.33684640522856,10.24,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_8.0"
"2",65,163.9411764705882,7.431,10.82,7.54,2019,11,46,16,9,176.33684640522856,9.94,7.42,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_9.0"
"2",65,163.9411764705882,7.431,10.82,7.54,2019,11,46,16,9,176.33684640522856,9.94,7.42,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_9.0"
"2",65,86.25,7.56,10.56,7.55,2019,11,46,16,10,176.33684640522856,9.51,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_10.0"
"2",65,86.25,7.56,10.56,7.55,2019,11,46,16,10,176.33684640522856,9.51,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_10.0"
"2",54,93.33333333333333,7.836,10.22,7.49,2019,11,46,16,11,176.33684640522856,9.06,7.36,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_11.0"
"2",54,93.33333333333333,7.836,10.22,7.49,2019,11,46,16,11,176.33684640522856,9.06,7.36,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_11.0"
"2",51,51,8.294,10.57,7.56,2019,11,46,17,0,176.33684640522856,10.25,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_0.0"
"2",51,51,8.294,10.57,7.56,2019,11,46,17,0,176.33684640522856,10.25,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_0.0"
"2",68,68,8.192,10.93,7.58,2019,11,46,17,2,176.33684640522856,10.27,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_2.0"
"2",68,68,8.192,10.93,7.58,2019,11,46,17,2,176.33684640522856,10.27,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_2.0"
"2",23,23,7.933,10.51,7.58,2019,11,46,17,6,176.33684640522856,10.44,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_6.0"
"2",23,23,7.933,10.51,7.58,2019,11,46,17,6,176.33684640522856,10.44,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_6.0"
"2",80,77.2,7.646,11.31,7.58,2019,11,46,17,8,176.33684640522856,10.08,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_8.0"
"2",80,77.2,7.646,11.31,7.58,2019,11,46,17,8,176.33684640522856,10.08,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_8.0"
"2",73,148.6,7.445,11.2,7.56,2019,11,46,17,9,176.33684640522856,9.95,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,50,"2019.0_46.0_17.0_9.0"
"2",73,148.6,7.445,11.2,7.56,2019,11,46,17,9,176.33684640522856,9.95,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,40,"2019.0_46.0_17.0_9.0"
"2",54,79.60869565217392,7.395,10.45,7.5,2019,11,46,17,10,176.33684640522856,9.3,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_10.0"
"2",54,79.60869565217392,7.395,10.45,7.5,2019,11,46,17,10,176.33684640522856,9.3,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_10.0"
"2",54,78.07407407407406,7.42,10.08,7.47,2019,11,46,17,11,176.33684640522856,9.71,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0,"2019.0_46.0_17.0_11.0"
"2",54,78.07407407407406,7.42,10.08,7.47,2019,11,46,17,11,176.33684640522856,9.71,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4583,0,"2019.0_46.0_17.0_11.0"
"2",46,46,7.881,11.11,7.53,2019,11,47,18,0,176.33684640522856,10.42,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_0.0"
"2",46,46,7.881,11.11,7.53,2019,11,47,18,0,176.33684640522856,10.42,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_0.0"
"2",50,48.6,7.76,11.23,7.55,2019,11,47,18,3,176.33684640522856,10.65,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_3.0"
"2",50,48.6,7.76,11.23,7.55,2019,11,47,18,3,176.33684640522856,10.65,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_3.0"
"2",63,63,7.718,11.31,7.56,2019,11,47,18,4,176.33684640522856,10.54,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_4.0"
"2",63,63,7.718,11.31,7.56,2019,11,47,18,4,176.33684640522856,10.54,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_4.0"
"2",86,86,7.695,11.35,7.56,2019,11,47,18,6,176.33684640522856,10.71,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_6.0"
"2",86,86,7.695,11.35,7.56,2019,11,47,18,6,176.33684640522856,10.71,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_6.0"
"2",57,63.142857142857146,7.653,11.43,7.56,2019,11,47,18,7,176.33684640522856,10.75,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_7.0"
"2",57,63.142857142857146,7.653,11.43,7.56,2019,11,47,18,7,176.33684640522856,10.75,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_7.0"
"2",64,78.45161290322584,7.665,11.02,7.53,2019,11,47,18,8,176.33684640522856,10.03,7.43,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_8.0"
"2",64,78.45161290322584,7.665,11.02,7.53,2019,11,47,18,8,176.33684640522856,10.03,7.43,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_8.0"
"2",69,106.38461538461537,7.668,10.87,7.51,2019,11,47,18,9,176.33684640522856,9.51,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,54,"2019.0_47.0_18.0_9.0"
"2",69,106.38461538461537,7.668,10.87,7.51,2019,11,47,18,9,176.33684640522856,9.51,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,36,"2019.0_47.0_18.0_9.0"
"2",56.5,79.61111111111113,7.716,11.25,7.54,2019,11,47,18,10,176.33684640522856,9.43,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_10.0"
"2",56.5,79.61111111111113,7.716,11.25,7.54,2019,11,47,18,10,176.33684640522856,9.43,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_10.0"
"2",61,76.29032258064515,7.917,10.7,7.49,2019,11,47,18,11,176.33684640522856,9.3,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,79.72,5.944,0,"2019.0_47.0_18.0_11.0"
"2",61,76.29032258064515,7.917,10.7,7.49,2019,11,47,18,11,176.33684640522856,9.3,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631,0,"2019.0_47.0_18.0_11.0"
"2",127,127,8.189,11.15,7.55,2019,11,47,19,0,176.33684640522856,10.62,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_0.0"
"2",127,127,8.189,11.15,7.55,2019,11,47,19,0,176.33684640522856,10.62,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_0.0"
"2",68.5,68.5,7.822,11.45,7.57,2019,11,47,19,3,176.33684640522856,10.86,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_3.0"
"2",68.5,68.5,7.822,11.45,7.57,2019,11,47,19,3,176.33684640522856,10.86,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_3.0"
"2",46,46,7.687,11.52,7.57,2019,11,47,19,4,176.33684640522856,10.93,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_4.0"
"2",46,46,7.687,11.52,7.57,2019,11,47,19,4,176.33684640522856,10.93,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_4.0"
"2",56,56,7.59,11.58,7.57,2019,11,47,19,5,176.33684640522856,10.98,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_5.0"
"2",56,56,7.59,11.58,7.57,2019,11,47,19,5,176.33684640522856,10.98,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_5.0"
"2",56.5,65.05000000000001,7.473,11.48,7.56,2019,11,47,19,8,176.33684640522856,10.47,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_8.0"
"2",56.5,65.05000000000001,7.473,11.48,7.56,2019,11,47,19,8,176.33684640522856,10.47,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_8.0"
"2",67,77.63636363636364,7.466,11.67,7.56,2019,11,47,19,9,176.33684640522856,10.64,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,55,"2019.0_47.0_19.0_9.0"
"2",67,77.63636363636364,7.466,11.67,7.56,2019,11,47,19,9,176.33684640522856,10.64,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,45,"2019.0_47.0_19.0_9.0"
"2",68,92.30232558139535,7.42,11.65,7.56,2019,11,47,19,10,176.33684640522856,9.99,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_10.0"
"2",68,92.30232558139535,7.42,11.65,7.56,2019,11,47,19,10,176.33684640522856,9.99,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_10.0"
"2",68,88.24,7.541,10.79,7.47,2019,11,47,19,11,176.33684640522856,9.39,7.35,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,80.52,6.001,0,"2019.0_47.0_19.0_11.0"
"2",68,88.24,7.541,10.79,7.47,2019,11,47,19,11,176.33684640522856,9.39,7.35,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675,0,"2019.0_47.0_19.0_11.0"
"2",58,58,8.104,11.21,7.54,2019,11,47,20,0,176.33684640522856,10.41,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_0.0"
"2",58,58,8.104,11.21,7.54,2019,11,47,20,0,176.33684640522856,10.41,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_0.0"
"2",71,71,8.152,11.22,7.54,2019,11,47,20,1,176.33684640522856,10.36,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_1.0"
"2",71,71,8.152,11.22,7.54,2019,11,47,20,1,176.33684640522856,10.36,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_1.0"
"2",79.5,79.5,8.199,11.25,7.54,2019,11,47,20,3,176.33684640522856,10.37,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_3.0"
"2",79.5,79.5,8.199,11.25,7.54,2019,11,47,20,3,176.33684640522856,10.37,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_3.0"
"2",48.5,53.25,8.23,11.26,7.55,2019,11,47,20,5,176.33684640522856,10.41,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_5.0"
"2",48.5,53.25,8.23,11.26,7.55,2019,11,47,20,5,176.33684640522856,10.41,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_5.0"
"2",55,55,8.26,11.25,7.54,2019,11,47,20,6,176.33684640522856,10.36,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_6.0"
"2",55,55,8.26,11.25,7.54,2019,11,47,20,6,176.33684640522856,10.36,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_6.0"
"2",66,66,8.268,11.21,7.54,2019,11,47,20,7,176.33684640522856,10.32,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_7.0"
"2",66,66,8.268,11.21,7.54,2019,11,47,20,7,176.33684640522856,10.32,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_7.0"
"2",61,68.53571428571428,8.369,10.78,7.53,2019,11,47,20,8,176.33684640522856,9.51,7.41,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_8.0"
"2",61,68.53571428571428,8.369,10.78,7.53,2019,11,47,20,8,176.33684640522856,9.51,7.41,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_8.0"
"2",62,70.78125,8.328,10.3,7.48,2019,11,47,20,9,176.33684640522856,9.84,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,55,"2019.0_47.0_20.0_9.0"
"2",62,70.78125,8.328,10.3,7.48,2019,11,47,20,9,176.33684640522856,9.84,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,45,"2019.0_47.0_20.0_9.0"
"2",57,66.10714285714285,8.303,10.63,7.55,2019,11,47,20,10,176.33684640522856,8.77,7.37,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_10.0"
"2",57,66.10714285714285,8.303,10.63,7.55,2019,11,47,20,10,176.33684640522856,8.77,7.37,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_10.0"
"2",75,75.71428571428572,8.46,10.8,7.53,2019,11,47,20,11,176.33684640522856,9.59,7.42,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,81.33,6.056,0,"2019.0_47.0_20.0_11.0"
"2",75,75.71428571428572,8.46,10.8,7.53,2019,11,47,20,11,176.33684640522856,9.59,7.42,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731,0,"2019.0_47.0_20.0_11.0"
"2",68,68,8.665,11.22,7.57,2019,11,47,21,0,176.33684640522856,10.58,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_0.0"
"2",68,68,8.665,11.22,7.57,2019,11,47,21,0,176.33684640522856,10.58,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_0.0"
"2",64,64,8.627,11.17,7.56,2019,11,47,21,1,176.33684640522856,10.61,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_1.0"
"2",64,64,8.627,11.17,7.56,2019,11,47,21,1,176.33684640522856,10.61,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_1.0"
"2",58,66.33333333333333,8.579,11.18,7.56,2019,11,47,21,2,176.33684640522856,10.69,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_2.0"
"2",58,66.33333333333333,8.579,11.18,7.56,2019,11,47,21,2,176.33684640522856,10.69,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_2.0"
"2",68,70.33333333333333,8.486,11.32,7.57,2019,11,47,21,3,176.33684640522856,10.84,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_3.0"
"2",68,70.33333333333333,8.486,11.32,7.57,2019,11,47,21,3,176.33684640522856,10.84,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_3.0"
"2",78,73.4,8.488,11.34,7.57,2019,11,47,21,4,176.33684640522856,10.8,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_4.0"
"2",78,73.4,8.488,11.34,7.57,2019,11,47,21,4,176.33684640522856,10.8,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_4.0"
"2",129,129,8.488,11.28,7.57,2019,11,47,21,5,176.33684640522856,10.77,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_5.0"
"2",129,129,8.488,11.28,7.57,2019,11,47,21,5,176.33684640522856,10.77,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_5.0"
"2",40,40,8.452,11.38,7.58,2019,11,47,21,6,176.33684640522856,10.83,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_6.0"
"2",40,40,8.452,11.38,7.58,2019,11,47,21,6,176.33684640522856,10.83,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_6.0"
"2",62.5,62.5,8.499,10.96,7.58,2019,11,47,21,7,176.33684640522856,10.63,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_7.0"
"2",62.5,62.5,8.499,10.96,7.58,2019,11,47,21,7,176.33684640522856,10.63,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_7.0"
"2",69,76.36363636363636,8.503,11.22,7.57,2019,11,47,21,8,176.33684640522856,10.1,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_8.0"
"2",69,76.36363636363636,8.503,11.22,7.57,2019,11,47,21,8,176.33684640522856,10.1,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_8.0"
"2",71,70.91304347826086,8.548,10.91,7.55,2019,11,47,21,9,176.33684640522856,9.69,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,55,"2019.0_47.0_21.0_9.0"
"2",71,70.91304347826086,8.548,10.91,7.55,2019,11,47,21,9,176.33684640522856,9.69,7.44,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,45,"2019.0_47.0_21.0_9.0"
"2",68,70.89473684210526,8.518,11.51,7.52,2019,11,47,21,10,176.33684640522856,10.67,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_10.0"
"2",68,70.89473684210526,8.518,11.51,7.52,2019,11,47,21,10,176.33684640522856,10.67,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.79,4787,0,"2019.0_47.0_21.0_10.0"
"2",66.5,57.5,8.533,11.51,7.58,2019,11,47,21,11,176.33684640522856,10.24,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0,"2019.0_47.0_21.0_11.0"
